marca,estabelecimento
mcdonalds,MC DONALDS  SET          
mcdonalds,MC DONALDS BR2           
mcdonalds,MC DONALDS GDO           
mcdonalds,MC DONALDS  VIN          
mcdonalds,MC DONALDS  ABM          
mcdonalds,MC DONALDS EBA           
mcdonalds,MCDONALDS A/PORT DEP     
mcdonalds,MC DONALDS TB2           
mcdonalds,MCDONALDS MNS            
mcdonalds,MC DONALDS SZD           
mcdonalds,MC DONALDS  MKC          
mcdonalds,MC DONALDS VDC           
mcdonalds,MC DONALDS -EZE      3104
mcdonalds,XFER- MC DONALDS TZM     
mcdonalds,MC DONALDS  DSE          
mcdonalds,MC DONALDS TAS           
mcdonalds,MCDONALDS-DXB AIRPORT    
mcdonalds,MC DONALDS NA2           
mcdonalds,KIOSK MC DONALDS         
mcdonalds,MC DONALDS GDU           
mcdonalds,MC DONALDS RES           
mcdonalds,MC DONALDS APO           
mcdonalds,MC DONALDS PCC           
mcdonalds,MC DONALDS  ABR          
mcdonalds,MC DONALDS PCD           
mcdonalds,MC DONALDS ITD           
mcdonalds,MC DONALDS  ISC          
mcdonalds,MC DONALDS  AIA          
mcdonalds,MC DONALDS RS2           
mcdonalds,MC DONALDS TUB           
mcdonalds,MC DONALDS PIR           
mcdonalds,MCDONALDS NPA            
mcdonalds,MC DONALDS  FBM          
mcdonalds,MCDONALDS                
mcdonalds,MC DONALDS TUC           
mcdonalds,MC DONALDS ITE           
mcdonalds,MC DONALDS LDR           
mcdonalds,MC DONALDS  D&D          
mcdonalds,MC DONALDS EBH           
mcdonalds,MC DONALDS  NFC          
mcdonalds,MC DONALDS LARDO DO      
mcdonalds,MCDONALDS 675   2402944  
mcdonalds,MCDONALDS FLP            
mcdonalds,MC DONALDS  AVA          
mcdonalds,MC DONALDS PPD           
mcdonalds,MC DONALDS  POC          
mcdonalds,MC DONALDS PVR           
mcdonalds,MC DONALDS JBD           
mcdonalds,MC DONALDS ITG           
mcdonalds,MC DONALDS CSD           
mcdonalds,MC DONALDS  UBA          
mcdonalds,MC DONALDS DTM           
mcdonalds,MC DONALDS  ISH          
mcdonalds,MC DONALDS DAC           
mcdonalds,MC DONALDS JOC           
mcdonalds,MCDONALDS ASF            
mcdonalds,MCDONALDS BH2            
mcdonalds,MC DONALDS  SLP          
mcdonalds,MC DONALDS PVU           
mcdonalds,MC DONALDS DGR           
mcdonalds,MC DONALDS PPG           
mcdonalds,MC DONALDS SGC           
mcdonalds,MC DONALDS AWE           
mcdonalds,MC DONALDS  UBE          
mcdonalds,MC DONALDS DAE           
mcdonalds,MCDONALDS SCF            
mcdonalds,MC DONALDS  SSA          
mcdonalds,MC DONALDS SMS           
mcdonalds,MCDONALDS APP 1104       
mcdonalds,MC DONALDS  MKP          
mcdonalds,MC DONALDS  CEL          
mcdonalds,MC DONALDS STD           
mcdonalds,MC DONALDS  NSH          
mcdonalds,MC DONALDS  SSC          
mcdonalds,MC DONALDS  CEM          
mcdonalds,MCDONALDS WAR MALL FC    
mcdonalds,MCDONALDS 681   2402817  
mcdonalds,MCDONALDS MOC            
